min_salary,max_salary,ref,name,currency
50000.0,60000.0,https://adsrv.hh.ru/click?b=478668&c=9&place=35&meta=iHiML71B5opvXUdOv09dom4Ink4VBl-aNiWKmNTDPQzAqBc1dTnpdbm8j3RC4AV2bCQt-ro72Q33aKbueZONRpK9oA5lhkGZVJYJhe_IApOW4AErBdcRbhoKCePsx_EgxMcglXaxCVp1pBVHFxxQuv4O3LKI-vnCSNh47qRPwgNd2kjCXOyGSW7kMUM-biN_ZGEcQPeKXHsyNeNttrglv3fw7kHYR4xZgcl9mStYSGjeFrhAx643NrXMwBdby7PkuXlHAQFgMxpv4zQ768z5ePzpxFtc8LpZSFHoGGJZKNCd-CM_4rNp2QpdGiB8bi-awMXBRzHePf9K3SEafuxk-DeMzKjjhTk_0XZ1mLLt6kxKO3gOdQ08_HMnLUiC7cx_9cEvpe0F5_b5ciTv0d7PQFbD837nSOeuWAKTr5-ykso1lj2XUBDCFnZhS56u52x6LMdaQl0kXzfWeWJlXIJMdn2R3IXf0RNn_1U29IE20bPGENbcdEWTstG_fO3WDg3cfIVSkS2STsKFxcPmzVo37g%3D%3D&clickType=link_to_vacancy,Сервисный инженер,₽
60000.0,120000.0,https://adsrv.hh.ru/click?b=463466&c=33&place=36&meta=h7DH11Y3ix7pZEnT5onOoMYI4OU8OmvRdcj_5xjXvZmZE72uC8G34Krauh1eHvDjQuAknnUIt5WuXnntfU2535HkKsSfFvYxdWj27tp-JZ-qoRJVjVY1f_EbXD30sbSyE0hjax68-YY7Rp219ce23hTkWJDRHv3RX9Rqkg_yV9lhh5CgFzE82u0jZDoViFTxuNHB6QrwCY-aXjoSAKWjMk5zoc20nn8fpYzB3OzexMANi-vVTyNHHi3UZaapzVZ_MEdd5ewfdLUMpLA_FJ0T3MiBH-UnEUyNf9oDoGi-iwWPeO1cjDWSba9maa2nI8L5OuGXxghUhfl2Ulf6VvLC21ioxIL6Zs1XQDQ8unRV_2QPqNFQkdIoYbpFvUDDvoHluNzYSTQOwMtNbbSWZ8kWMyX336nQ0NwE8iZDDDM2cMdeozDjahyp6Lx_QkMfr0K2Y5ZY1cuJLKM88qW5pXVqcQbpQieWRsUU7kiQ5GGHROwSdaf4WGAED3lWT8C6gcsOc4OmaPYCpZjQKHUPXGmkHw%3D%3D&clickType=link_to_vacancy,Инженер-конструктор,₽
,,https://hh.ru/vacancy/79672184?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Data Engineer,
120000.0,170000.0,https://hh.ru/vacancy/84067453?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-конструктор,₽
,130000.0,https://hh.ru/vacancy/84050794?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Главный инженер,₽
1500.0,,https://hh.ru/vacancy/83338130?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер по транспорту,Br
200000.0,,https://hh.ru/vacancy/84054149?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер сервисного центра / инженер-электронщик,₸
,,https://hh.ru/vacancy/84058735?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Старший инженер-химик,
70000.0,90000.0,https://hh.ru/vacancy/84052214?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-проектировщик ОВИК,₽
350000.0,750000.0,https://hh.ru/vacancy/83331641?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Начинающий инженер по продажам,₸
,,https://hh.ru/vacancy/84054399?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер по тестированию (Senior),
100000.0,150000.0,https://hh.ru/vacancy/84051353?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-электроник / разработчик электроники,₽
200000.0,,https://hh.ru/vacancy/78552767?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,DevOps инженер (middle) (удаленно),₽
60000.0,,https://hh.ru/vacancy/83422006?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-монтажник,₽
80000.0,,https://hh.ru/vacancy/82231643?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-монтажник,₽
50000.0,,https://hh.ru/vacancy/82237173?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-монтажник,₽
50000.0,,https://hh.ru/vacancy/83449103?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-монтажник,₽
48000.0,,https://hh.ru/vacancy/83620390?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-монтажник,₽
45000.0,,https://hh.ru/vacancy/83620387?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер- монтажник,₽
2000.0,,https://hh.ru/vacancy/84010014?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-проектировщик,Br
40000.0,55000.0,https://adsrv.hh.ru/click?b=475240&c=5&place=35&meta=mJsWRC3f-fNq_w4d3Kj2AhNXrh_PPT98Pd5Vs3dGbR6wRAxlb6PGTybdyGoc2uIEYLwUndAUK9ZKhZ3UniwwoKkdYYR-IpylgimLK6fyuJQbHuPMJkbh1MgM8rdtbd_aoaFyP6Qi4e65mRoJrTQxsMB0Eskc6p_Y3Il0pMPxBkXdzqFNCbtZzomKGVKCDaXGpNZhYFIhE1OYGBaKr7p523PknANwG64zwOPukbJ2XJwj3M9Wr6IbWzqN9EFNPbdIyZY1o9NTF_9ALYYla1ViT5E3MNFou3s2OERhPh-lVOWDr74jPX8cgisCbRdnTt-BzkYBFQFuXxfAtQfUg87EKtsUr2KpvEUrh_zKwMCceuUlOhKWU9gvC-bultID7W5-LYdYyrgq9bXv2D85NXDhrWnjDyVRBh29HJsNOJPKDDcrmqOByrSleRIhY6-TXHd1ytjD1eA8Q25CTcQl0BKVu23c-X16Ob4g-c22vpwNVQxBtMOFW0hpZx9c9f3B4dR_1VcdA9n2RwkvtNGMM_ZNCg%3D%3D&clickType=link_to_vacancy,Районный инженер,₽
,,https://adsrv.hh.ru/click?b=476170&c=5&place=36&meta=BgdHQX_TlLLx9oyoNZRH-heI2aSy9Wib1EbBHArJfMiF-l7ClrXZdnuqp7c9RexZoxENGQ3qMI90WmntmkJJaIIENqsurVM78xqnAG4m87JivuInFa0EQKxJjjewa6FnIy23-aXBHcqX7CQhKTMFjDleG2PCXh1mNy6pLxtVE42jJyiRXXrvKLf_PHGHCEYMJhj8lIZeky4o1G8SlZyYSZtQjctKoAFPslulngBqJyGKkdTZGdgLI2cMFQPmAQ9iMF_NTsdNB8PA7cH2-13IAGXNM_tkXPF1jdsGrzd7IZAK9lgDYdAgkEULKvyucHfaK4PiRPxgm8II6OKWaqunNmVEvvcP16i9Cj0LxKnA7ZG_h9Yg9RGwEfxx3kWc3OKb7alN8PcRThxNZwftLsYQ90WUMO7DFUwj3TDJz3Xqy018NKZPAmGNC6-sPpGn-U49ZczgprF5nCzZztUyOCV25Puoj4ASrbXIu5E5Ruw8mPi280tBiYg7mRNP4Hbfmcf27aLwDgVkoguHh5IFQlBvZQ%3D%3D&clickType=link_to_vacancy,Инженер ПТО,
50000.0,75000.0,https://hh.ru/vacancy/83449078?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-механик,₽
27700.0,,https://hh.ru/vacancy/84071144?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-синоптик,₽
100000.0,,https://hh.ru/vacancy/83291675?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер ПТО,₽
,,https://hh.ru/vacancy/84071096?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-энергетик,
45000.0,,https://hh.ru/vacancy/83559881?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-электромеханик,₽
60000.0,,https://hh.ru/vacancy/83559872?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер ПТО,₽
90000.0,100000.0,https://hh.ru/vacancy/84070982?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Сетевой Инженер,₽
90000.0,120000.0,https://hh.ru/vacancy/83042130?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-конструктор,₽
80000.0,,https://hh.ru/vacancy/83042074?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-конструктор,₽
,,https://hh.ru/vacancy/82907884?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-конструктор,
,,https://hh.ru/vacancy/83777335?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер ПТО,
110000.0,,https://hh.ru/vacancy/83290129?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер ПТО,₽
,140000.0,https://hh.ru/vacancy/79735529?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Сетевой инженер,₽
60000.0,,https://hh.ru/vacancy/83638367?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-энергетик,₽
60000.0,70000.0,https://hh.ru/vacancy/82774114?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-сметчик,₽
60000.0,90000.0,https://hh.ru/vacancy/81412902?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-электронщик,₽
50000.0,65000.0,https://hh.ru/vacancy/80019037?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер КИПиА,₽
70000.0,,https://hh.ru/vacancy/84070250?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Сервисный инженер,₽
